country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,M,16,N,2015,09,others/unknown,others/unknown,manos
USA,M,unkwown,N,2015,09,hammerhead,others/unknown,others/unknown
USA,M,unkwown,N,2015,09,others/unknown,laceración,piernas
USA,M,20,N,2015,09,others/unknown,others/unknown,pies
AUSTRALIA,M,42,N,2015,09,others/unknown,laceración,manos
USA,F,50,N,2015,09,white,others/unknown,others/unknown
USA,M,29,N,2015,09,hammerhead,laceración,pies
AUSTRALIA,M,62,N,2015,09,white,others/unknown,piernas
USA,M,unkwown,N,2015,09,others/unknown,mordiscos,pies
THAILAND,F,37,N,2015,09,others/unknown,mordiscos,pies
FIJI,M,unkwown,N,2015,09,tiger,mordiscos,piernas
USA,F,54,N,2015,08,white,mordiscos,others/unknown
USA,M,21,N,2015,08,white,others/unknown,piernas
USA,M,unkwown,Desconocido,2015,08,others/unknown,others/unknown,piernas
AUSTRALIA,M,38,N,2015,08,others/unknown,laceración,piernas
USA,M,15,N,2015,08,others/unknown,others/unknown,piernas
USA,F,10,N,2015,08,others/unknown,laceración,piernas
USA,M,22,N,2015,08,white,mordiscos,others/unknown
SPAIN,M,10,Desconocido,2015,08,others/unknown,others/unknown,others/unknown
USA,M,57,N,2015,08,hammerhead,mordiscos,manos
AUSTRALIA,M,52,N,2015,07,white,laceración,piernas
COSTA RICA,M,47,N,2015,07,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,40,Desconocido,2015,07,others/unknown,others/unknown,manos
USA,M,25,N,2015,07,blacktip,others/unknown,pies
USA,F,35,Desconocido,2015,07,others/unknown,herida,pies
AUSTRALIA,M,46,Y,2015,07,white,others/unknown,others/unknown
USA,M,31,N,2015,07,mako,mordiscos,others/unknown
AUSTRALIA,M,40,N,2015,07,whaler,mordiscos,manos
REUNION,M,45,N,2015,07,bull,mordiscos,brazos
SOUTH AFRICA,M,34,N,2015,07,white,others/unknown,others/unknown
USA,M,38,N,2015,07,white,golpe,others/unknown
USA,M,51,Desconocido,2015,07,others/unknown,laceración,tronco
FRENCH POLYNESIA,M,unkwown,Desconocido,2015,07,others/unknown,mordiscos,tronco
BAHAMAS,F,23,N,2015,07,others/unknown,laceración,piernas
USA,M,32,N,2015,07,others/unknown,laceración,brazos
AUSTRALIA,M,52,N,2015,07,white,mordiscos,others/unknown
AUSTRALIA,M,32,N,2015,07,white,others/unknown,piernas
USA,M,68,N,2015,07,others/unknown,others/unknown,piernas
AUSTRALIA,M,unkwown,N,2015,06,others/unknown,mordiscos,manos
USA,M,12,N,2015,06,others/unknown,laceración,piernas
USA,M,18,N,2015,06,bull,others/unknown,piernas
SOUTH AFRICA,M,19,N,2015,06,white,laceración,piernas
USA,F,unkwown,Desconocido,2015,06,others/unknown,laceración,piernas
SOUTH AFRICA,M,23,N,2015,06,white,laceración,piernas
USA,M,43,N,2015,06,others/unknown,herida,pies
AUSTRALIA,M,19,N,2015,06,wobbegong,laceración,brazos
USA,M,47,N,2015,06,others/unknown,laceración,tronco
USA,M,6,N,2015,06,tiger,others/unknown,pies
AUSTRALIA,F,37,N,2015,06,white,others/unknown,pies
USA,M,9,N,2015,06,others/unknown,others/unknown,piernas
PUERTO RICO,M,36,N,2015,06,others/unknown,others/unknown,manos
USA,M,10,N,2015,06,others/unknown,others/unknown,piernas
USA,M,16,N,2015,06,bull,amputacion,tronco
USA,F,12,N,2015,06,bull,amputacion,piernas
USA,F,unkwown,N,2015,06,mako,laceración,piernas
USA,F,13,N,2015,06,others/unknown,laceración,pies
USA,M,11,N,2015,06,bull,laceración,piernas
USA,F,17,N,2015,06,nurse,others/unknown,manos
REUNION,M,47,N,2015,06,bull,mordiscos,brazos
USA,F,14,N,2015,05,others/unknown,mordiscos,pies
